"","Proposal Number","Category","PI Name","Type","Time (ks)","Title"
"","17800479","CLUSTERS OF GALAXIES","Irina Zhuravleva","LP","1000","Probing ICM on mean free path scales"
"","17800269","CLUSTERS OF GALAXIES","Reinout van Weeren","LP","368","A Shock in the Cluster ZwCl0008: A Direct Test of Particle Acceleration Models"
"","17800222","CLUSTERS OF GALAXIES","Julie Hlavacek-Larrondo","LP","425","Deep X-ray Observations of 3 exceptional high-z clusters of galaxies"
"","17800171","CLUSTERS OF GALAXIES","Helen Russell","LP","330","The imprints of AGN feedback within the Bondi radius of M87"
"","17700516","ACTIVE GALAXIES AND QUASARS","Roberto Gilli","LP","500","QSOs at z=6: Black Hole Growth and Feedback in the Early Universe"
"","17700420","ACTIVE GALAXIES AND QUASARS","Michael Koss","LP","313","Chandra Legacy Survey of Merger Driven AGN Activation in Nearby X-ray Selected AGN"
"","17620695","NORMAL GALAXIES: X-RAY POPULATIONS","Fiona Harrison","LP","315","Timing and Spectral Studies of the Extreme Binary Population in M82"
"","17620477","NORMAL GALAXIES: X-RAY POPULATIONS","Douglas Swartz","LP","800","To the Edge and Beyond: A Legacy Survey of the Grand Design Spiral M81"
"","17500675","SN, SNR AND ISOLATED NS","Kazimierz Borkowski","LP","300","Global Expansion and Internal Kinematics of the Oxygen-Rich Supernova Remnant G292.0+1.8"
"","17500499","SN, SNR AND ISOLATED NS","Brian Williams","LP","400","N103B: A Type Ia Remnant with Circumstellar Interaction... Kepler's Older Cousin?"
"","17200344","STARS AND WD","David Huenemoerder","LP","500","Using high resolution x-ray spectra to probe accretion, abundances, and coronal activity in the young cluster IC 348"
"","17200115","STARS AND WD","Maurice Leutenegger","LP","315","A PROBE OF THE HYBRID COLLIDING WIND AND CENTRIFUGAL-MAGNETOSPHERIC X-RAY EMISSION OF PLASKETT'S STAR"
"","17200035","STARS AND WD","Leisa Townsley","LP","450","Into the Maelstrom of W43"
"","16900937","EXTRAGALACTIC DIFFUSE EMISSION AND SURVEYS","Guenther Hasinger","XVP","1250","Black Hole Fingerprints from Cosmic Dawn to Cosmic Noon"
"","16800829","CLUSTERS OF GALAXIES","Alexey Vikhlinin","XVP","2100","Chandra mapping of the cosmic web converging on the virialization region of Abell 1795"
"","16800690","CLUSTERS OF GALAXIES","Michael McDonald","LP","588","A MASS-LIMITED SURVEY OF GALAXY CLUSTERS AT 1.2 < z < 1.7: PROBING THE PHYSICS OF THE ICM DURING ITS ASSEMBLY"
"","16800622","CLUSTERS OF GALAXIES","William Forman","LP","370","Probing the Physics of the ICM in the Dynamically Young Cluster A1367"
"","16800528","CLUSTERS OF GALAXIES","Laurence David","LP","340","The Highly Perturbed X-ray Bright Group NGC 5044"
"","16700859","ACTIVE GALAXIES AND QUASARS","Michael Wise","XVP","2000","The Rise to Power: Half a Billion Years of Intense AGN Activity in the Merging Cluster Cygnus A"
"","16700515","ACTIVE GALAXIES AND QUASARS","Julia Lee","LP","450","An X-ray, UV, and radio probe of the PG 1211+143 inflow-outflow dynamics"
"","16700470","ACTIVE GALAXIES AND QUASARS","Ashley King","LP","700","Uncovering the True Nature of Warm-Absorbing Winds: The Power of the Fe XXII Doublet"
"","16620755","NORMAL GALAXIES: X-RAY POPULATIONS","Benjamin Williams","LP","350","A Chandra Legacy Survey of the Disk of M31"
"","16500705","SN, SNR AND ISOLATED NS","Kazimierz Borkowski","LP","400","Nonuniform expansion and brightening of the youngest Galactic SNR G1.9+0.3"
"","16200863","STARS AND WD","Jeremy Drake","LP","500","The Chandra-Kepler Flare Survey"
"","16200111","STARS AND WD","Yael Naze","LP","350","HD191612 - constraining the structure of a massive magnetosphere"
"","15900142","EXTRAGALACTIC DIFFUSE EMISSION AND SURVEYS","Leisa Townsley","XVP","2000","The Tarantula -- Revealed by X-rays (T-ReX): A Definitive Chandra Investigation of 30 Doradus"
"","15900132","EXTRAGALACTIC DIFFUSE EMISSION AND SURVEYS","William Brandt","XVP","3000","The Chandra Deep Field-South: A Peerless Ultradeep Survey for Exploring the Distant X-ray Universe"
"","15800858","CLUSTERS OF GALAXIES","Christine Jones","LP","520","Clusters, Galaxies, and AGN in HST Frontier Fields"
"","15800706","CLUSTERS OF GALAXIES","Ralph Kraft","LP","500","Hydrodynamics of merging and stripping in the Fornax Cluster: A Deep Chandra observation of NGC 1404"
"","15800657","CLUSTERS OF GALAXIES","John Hughes","LP","237","Chandra Observations of a Complete Sample of SZE Clusters from ACT"
"","15800474","CLUSTERS OF GALAXIES","Jeremy Sanders","LP","500","Deep imaging and spectroscopy of the Centaurus cluster: metals and filaments"
"","15700397","ACTIVE GALAXIES AND QUASARS","Francesco Tombesi","LP","500","Unifying X-ray winds in radio galaxies with Chandra HETG"
"","15620853","NORMAL GALAXIES: X-RAY POPULATIONS","Daryl Haggard","LP","420","Monitoring the Tidal Disruption of the Gas Cloud G2 As It Encounters Sgr A*"
