Category,PI Name,Proposal Number,Time,Title,Year
SOLAR SYSTEM,GORDON GARMIRE,03100101,30.0,SEARCH FOR X-RAYS FROM URANUS ALTERNATE TARGET,2003
SOLAR SYSTEM,J WAITE,03100308,72.0,X-RAY OBSERVATIONS OF JUPITER,2003
SOLAR SYSTEM,CAREY LISSE,03100792,35.0,ACIS-S LOW ENERGY SPECTROSCOPY AND PHOTOMETRIC IMAGING OF CHARGEEXCHANGE X-RAY EMISSION FROM COMET C/LINEAR WM1 (2000),2003
SOLAR SYSTEM,FIONA HARRISON,03108065,50.0,"X-RAY OBSERVATIONS OF THE FIRST COUNTERPART TO A FAST X-RAYTRANSIENT, XRF010930",2003
SOLAR SYSTEM,FIONA HARRISON,03108067,20.0,"X-RAY OBSERVATIONS OF THE FIRST COUNTERPART TO A FAST X-RAYTRANSIENT, XRF010930",2003
SOLAR SYSTEM,KONRAD DENNERL,03108076,32.0,SPECTROSCOPIC IMAGING OF CHARGE EXCHANGE X-RAY EMISSION FROMCOMET C/2002 C1,2003
SOLAR SYSTEM,G. GLADSTONE,03108123,1.0,A SEARCH FOR SOFT X-RAY AURORAS ON EARTH,2003
NORMAL STARS AND WD,RAGHVENDRA SAHAI,03200012,10.0,A YSO-LIKE PULSED ASTROPHYSICAL JET AND BIPOLAR NEBULA IN ADYING STAR: WFPC2/STIS STUDY OF HE2-90,2003
 NORMAL STARS AND WD,PETER PREDEHL,03200024,45.0,ORIGIN OF THE X-RAY EMISSION OF THE PREMAIN SEQUENCE STAR V 410TAU,2003
NORMAL STARS AND WD,FREDERICK WALTER,03200038,90.0,PROBING THE GAS IN THE V471 TAU SYSTEM WITH ABSORPTIONSPECTROSCOPY,2003
NORMAL STARS AND WD,GORDON GARMIRE,03200050,80.0,VIOLENT MASSIVE STAR FORMATION IN THE GALAXY: W51 ALTERNATETARGET,2003
NORMAL STARS AND WD,CLAUDE CANIZARES,03200056,95.0,HIGH RESOLUTION SPECTROSCOPY OF THE YOUNG STELLAR CLUSTER NGC2362,2003
NORMAL STARS AND WD,DAVID HUENEMOERDER,03200079,200.0,"HETGS SPECTROSCOPY OF THE LONG-PERIOD ACTIVE BINARY, IM PEGASI.",2003
NORMAL STARS AND WD,GORDON GARMIRE,03200093,40.0,X-RAYS FROM STARS AT THE FAR END OF THE MAIN SEQUENCE,2003
NORMAL STARS AND WD,STEPHEN MURRAY,03200086,70.0,HIGH-RESOLUTION SPECTRA OF T TAURI STARS,2003
NORMAL STARS AND WD,GORDON GARMIRE,03200049,10.0,AN X-RAY STUDY OF X-RAYS FROM THE BETA PIC SYSTEM,2003
NORMAL STARS AND WD,STEPHEN DRAKE,03200161,100.0,A HIGH-RESOLUTION STUDY OF THE ACTIVE BINARY SYSTEM V824 ARA,2003
NORMAL STARS AND WD,THEODORE SIMON,03200170,70.0,HARD X-RAY EMISSION FROM THE CLASS I AND CLASS 0 OUTFLOW SOURCESIN L1630,2003
NORMAL STARS AND WD,SALVATORE SCIORTINO,03200178,100.0,THE LOW-MASS POPULATION OF NGC2264 AND ITS CORONAL PROPERTIES.,2003
NORMAL STARS AND WD,NURIA HUELAMO,03200188,9.5,ON THE ORIGIN OF THE X-RAY EMISSION IN LATE B-TYPE STARS,2003
NORMAL STARS AND WD,JOEL KASTNER,03200237,90.0,UNDERSTANDING THE ENGINE OF GROWTH IN PLANETARY NEBULAE,2003
NORMAL STARS AND WD,JURGEN SCHMITT,03200240,110.0,CORONAL EVOLUTION IN SINGLE GIANTS WITH CHANDRA LETGS X-RAYSPECTROSCOPY,2003
NORMAL STARS AND WD,JOHN STAUFFER,03200289,150.0,THE AGE-ROTATION-ACTIVITY RELATION IN LATE-TYPE STARS BETWEEN~1-10 MYR,2003
NORMAL STARS AND WD,ROBERT RUTLEDGE,03200359,50.0,STELLAR CORONAE AT THE BOTTOM OF THE MAIN SEQUENCE: AMULTI-WAVELENGTH STUDY,2003
