Category,PI Name,Proposal Number,Time,Title,Year
SOLAR SYSTEM,G. Gladstone,08100480,108.0,X-Ray Observations of Jupiter in Support of the New HorizonsFlyby,2008
SOLAR SYSTEM,Konrad Dennerl,08100802,80.0,Solar wind charge exchange induced X-rays at Venus during theMessenger flyby,2008
STARS AND WD,Claude Canizares,08200053,150.0,High Resolution Studies of Pre-Main Sequence Stars in Orion,2008
STARS AND WD,DAVID GARCIA-ALVAREZ,08200106,135.0,THE FASTEST CORONA IN TOWN,2008
STARS AND WD,Jeremy Drake,08200110,20.0,Burn Out or Fade Away? Probing the X-ray Death of IntermediateMass Stars,2008
STARS AND WD,Theodore Simon,08200158,60.0,X-Ray Emission from Low-Mass Protostars in Small Dark Clouds,2008
STARS AND WD,Ton Raassen,08200171,100.0,A search for cool gas in the X-ray emitting wind of O-stars,2008
STARS AND WD,Stephen Skinner,08200188,70.0,Resolving the X-ray Emission from Massive Protostars in the NGC2071 Cluster Core,2008
STARS AND WD,Manuel Guedel,08200206,15.0,Evolution of Magnetic Activity and the Accretion History inTaurus-Auriga Multiple Systems,2008
STARS AND WD,Konstantin Getman,08200213,40.0,Is W40 the Richest Nearby Young Stellar Cluster after Orion?,2008
STARS AND WD,Martin Guerrero,08200263,60.0,Hot Gas in the Eskimo Nebula: Shocked Fast Stellar Wind or FastCollimated Outflows?,2008
STARS AND WD,Joel Kastner,08200400,60.0,Hot gas and cool dust around B[e] Supergiants,2008
STARS AND WD,Julian Pittard,08200445,20.0,The shock physics at the colliding winds in WR 146,2008
STARS AND WD,Manuel Guedel,08200495,40.0,Evolution of Accretion and X-Rays in Lynds 1228,2008
STARS AND WD,Edo Berger,08200531,90.0,The Full Picture of Magnetic Activity in Ultracool Dwarfs:Simultaneous Observations of Coronae and Chromospheres,2008
STARS AND WD,Gaitee Hussain,08200549,69.0,Understanding X-ray super-saturation,2008
