Proposal Number,Category,Type,PI Name,Title,Time,Year
09100452,SOLAR SYSTEM,GO,Damian Christian,High Resolution Imaging and Spectroscopy of 8P/Tuttle,50.0,2009
09200028,STARS AND WD,GTO,Gordon Garmire,Search for triggered star formation in the unique bright rimmed cloud 4,20.0,2009
09200053,STARS AND WD,GTO,Gordon Garmire,ACIS Mapping Observation of W75N/DR21,30.0,2009
09200063,STARS AND WD,GTO,Peter Predehl,X-Raying the debris disk of AU Mic,50.0,2009
09200064,STARS AND WD,GTO,Claude Canizares,The HETG Orion Legacy Project: The Periastron Passage of Theta1 OriC's Massive Secondary,87.0,2009
09200065,STARS AND WD,GTO,Claude Canizares,The HETG Orion Legacy Project: PMS Stellar Studies of the Orion Trapezium Cluster,75.0,2009
09200079,STARS AND WD,GO,Steven Pravdo,Protostars and Jets in Cep A,80.0,2009
09200137,STARS AND WD,GO,Brian Wood,Resolving the Xi Boo Binary,100.0,2009
09200153,STARS AND WD,GO,Joel Kastner,BP Psc: Chandra Takes a Close Look at a Pre-Main Sequence Star-Disk-Jet System,80.0,2009
09200162,STARS AND WD,GO,Jan Robrade,Are the Herbig Ae star HR 5999 and the peculiar A-type star HR 6000 X-ray emitter?,10.0,2009
09200198,STARS AND WD,GO,Beate Stelzer,The coronae of ultracool dwarfs: Simultaneous X-ray and radio monitoring,40.0,2009
09200200,STARS AND WD,GO,Marc Audard,Surveying Magnetic Activity in L and T Brown Dwarfs,70.0,2009
09200214,STARS AND WD,GO,Leisa Townsley,NGC 3576: Spontaneous or Triggered Formation of a Giant HII Region,60.0,2009
09200253,STARS AND WD,GO,Thomas Ayres,The Further Fainting of Alpha Cen A,25.0,2009
09200255,STARS AND WD,GO,Stephen Skinner,A Survey of X-ray Emission from Nitrogen-rich Wolf-Rayet Stars,55.0,2009
09200257,STARS AND WD,GO,Andrew Pollock,The clear view of WR140's collisionless shocks through the companion O-star wind,80.0,2009
09200270,STARS AND WD,GO,Thomas Ayres,Filling in the Coronal Graveyard,20.0,2009
09200326,STARS AND WD,GO,John Gizis,Search for X-Ray Emission from TW Hya Association Brown Dwarfs,30.0,2009
09200357,STARS AND WD,GO,Yohko Tsuboi,Survey of Class 0 Protostars in the Smallest Clouds 'Bok Globules',20.0,2009
09200403,STARS AND WD,GO,Marcel Agueros,The Coolest X-ray Emitting White Dwarfs?,10.0,2009
09200488,STARS AND WD,GO,Edo Berger,The Full Picture of Magnetic Activity in Ultracool Dwarfs: Simultaneous Observations of Coronae and Chromospheres,120.0,2009
09200532,STARS AND WD,GO,Marc Gagne,X-raying the Giant HII Region G305,125.0,2009
09200535,STARS AND WD,GO,Cara Rakowski,An Emerging Class of Hot Emission Line Stars: HD 119682,150.0,2009
09200536,STARS AND WD,TOO,David Weintraub,ToO Studies with CXO of Pre-Main Sequence Stars Undergoing Optical Outbursts,150.0,2009
09200559,STARS AND WD,GO,Mario Guarcello,Effects of massive star radiation on circumstellar disks evolution in the Eagle Nebula,160.0,2009
09200564,STARS AND WD,GO,Scott Wolk,X-ray and Radio Imaging of the Protostar Complex Adjacent to IC 348,80.0,2009
09200584,STARS AND WD,GO,Michael Corcoran,Shock Dynamics in Eta Carinae Approaching the 2009 Periastron Passage: A Twisted Tail,80.0,2009
09200644,STARS AND WD,GO,Rachel Osten,Polar Exploration and Coronal Structure in the Active Binary HR 5110,80.0,2009
09200659,STARS AND WD,GO,Marc Audard,Catching the Post-Outburst State of the Erupting Star V1118 Ori,35.0,2009
09200673,STARS AND WD,GO,Lidia Oskinova,Can different elements move with different velocities in a radiatively driven stellar wind?,30.0,2009
09200690,STARS AND WD,GO,Jon Miller,The Evolution of X-ray Emission in the Planet-Forming Era,70.0,2009
09200730,STARS AND WD,GO,Carol Grady,"X-ray Emission from a 7 Myr Old, Accreting Herbig Ae star and its Jet: MWC 480",10.0,2009
09200763,STARS AND WD,GO,Alexander Brown,X-RAY AND UV PHOTOIONIZATION AND PHOTOEXCITATION OF PRE-MAIN-SEQUENCE STAR TRANSITIONAL DISKS,20.0,2009
09200803,STARS AND WD,GO,Steven Saar,A detailed investigation of coronal/magnetic and rotational changes in cool stars using NGC 3532,130.0,2009
09200839,STARS AND WD,GO,You-Hua Chu,X-ray Emission from the Hot White Dwarf KPD 0005+5106: Corona or Accretion?,50.0,2009
09200905,STARS AND WD,GO,Gregory Herczeg,Evaluating the Role of Photoevaporation in Protoplanetary Disk Dispersal,10.0,2009
09200907,STARS AND WD,GO,Lee Hartmann,A Hard Look at Stellar Disks at the Epoch of Planet Formation,40.0,2009
09200909,STARS AND WD,GO,Nuria Calvet,Probing the Gas in the Planet Forming Regions of Protoplanetary Disks,150.0,2009
09300001,WD BINARIES AND CV,GO,Wolfgang Pietsch,Resolving short supersoft source states of optical novae in the core of M31,100.0,2009
09300101,WD BINARIES AND CV,LP,David Pooley,A Chandra Legacy Survey of Dynamically Active Globular Clusters,243.4,2009
09300413,WD BINARIES AND CV,GO,Randall Smith,The Symbiotic Star SS73 17: What Generates the Hard X-rays?,100.0,2009
09300509,WD BINARIES AND CV,TOO,Sumner Starrfield,Multiwavelength Observations of Two Bright Dust Forming CO Novae: V2362 Cyg and V1280 Sco,100.0,2009
09300602,WD BINARIES AND CV,GO,Margarita Karovska,X-ray Jets Activity in the Symbiotic System CH Cyg,80.0,2009
09300685,WD BINARIES AND CV,TOO,Koji Mukai,"The Nature of the Soft Component in the Symbiotic Star, CH Cygni",100.0,2009
09400002,BH AND NS BINARIES,GO,Joern Wilms,Joint XMM-Newton/Chandra/RXTE Observations of Dips in Cyg X-1,50.0,2009
09400003,BH AND NS BINARIES,GO,Rudy Wijnands,Monitoring Observations of the Galactic Center Region,30.0,2009
09400014,BH AND NS BINARIES,GTO/ALTERNATE,Mariano Mendez,Chandra follow-up of a weak persistent source found in INTEGRAL maps: IGR J17204-3554,1.0,2009
09400018,BH AND NS BINARIES,GTO/TOO,Mariano Mendez,Chandra follow-up of weak persistent sources found in INTEGRAL maps,2.0,2009
09400019,BH AND NS BINARIES,GTO,Mariano Mendez,Chandra follow-up of a weak persistent source found in INTEGRAL maps,1.0,2009
09400020,BH AND NS BINARIES,GTO,Mariano Mendez,The Galactic Bulge Survey: categorising the plethora of faint X-ray sources in the Galactic Bulge,132.0,2009
09400055,BH AND NS BINARIES,GTO,Claude Canizares,HETG Observations of the Accretion Disk Corona Source X1822-371,150.0,2009
09400117,BH AND NS BINARIES,TOO,David Pooley,Transient LMXBs in Globular Clusters: More Numerous Than We Thought?,22.5,2009
09400125,BH AND NS BINARIES,TOO,Stephane Corbel,X-Ray Jets in Microquasars,150.0,2009
09400192,BH AND NS BINARIES,GO,Edward Cackett,Crustal cooling in quiescent neutron stars,30.0,2009
09400196,BH AND NS BINARIES,GO,Peter Jonker,The Galactic Bulge Survey: categorising the plethora of faint X-ray sources in the Galactic Bulge,132.0,2009
09400208,BH AND NS BINARIES,TOO,Peter Jonker,Following a black hole candidate X-ray transient to quiescence,171.0,2009
09400224,BH AND NS BINARIES,TOO,Yoshihiro Ueda,High Resolution Spectroscopy of GRS 1915+105 in the 'Soft' State,50.0,2009
09400231,BH AND NS BINARIES,TOO,Isabelle Grenier,ToO observation of a new bright transient discovered by GLAST and Swift in the Galactic plane,30.0,2009
09400314,BH AND NS BINARIES,GO,Norbert Schulz,Photoionization in the Microquasar Circinus X-1,35.0,2009
09400351,BH AND NS BINARIES,TOO,Nathalie Degenaar,Crust cooling of HETE J1900.1-2455 and Swift J1626.6-5156,120.0,2009
