Proposal Number,Category,PI Name,Title,Time,Year
11200015,STARS AND WD,Poppenhaeger,Star-Planet Interaction in the upsilon Andromedae extrasolar planet system,60.0,2011
11200018,STARS AND WD,Canizares,X-Ray Spectroscopy of Nearby Young Stars in the TW Association,60.0,2011
11200020,STARS AND WD,Predehl,The Chandra LETGS Soft X-ray Spectrum of the White Dwarf GD153,115.0,2011
11200035,STARS AND WD,Garmire,Young Binary DQ Tau: The hunt for X-ray emission from colliding magnetospheres (GTO part),30.0,2011
11200062,STARS AND WD,Garmire,IC1396 HII region as a testbed of triggered star formation: BRC36 (GTO portion),30.0,2011
11200063,STARS AND WD,Ayres,The Ups and Downs of Alpha Centauri,20.0,2011
11200069,STARS AND WD,Naze,"Investigating HD148937, an enigmatic hot magnetic star",100.0,2011
11200095,STARS AND WD,Preibisch,Revealing the ``missing' low-mass stars in the S255/S257 star forming region,75.0,2011
11200153,STARS AND WD,Stelzer,X-ray emission from wide brown dwarf binaries,60.0,2011
11200169,STARS AND WD,Oskinova,Cosmic archaeology with Chandra: from a supergiant shell to young stellar objects in NGC 602,300.0,2011
11200179,STARS AND WD,Robrade,X-ray emission from the planet-bearing A-type star HR 8799 ?,10.0,2011
11200199,STARS AND WD,Townsley,A New Story for Massive Star Formation in NGC 6357,80.0,2011
11200214,STARS AND WD,Schmitt,The active host star of the extrasolar planet COROT-EXO-2b,15.0,2011
11200217,STARS AND WD,Getman,BRC36/IC1396 as a Testbed of Triggered Star Formation (GO part),30.0,2011
11200232,STARS AND WD,Skinner,RY Tau: A T Tauri Star Driving a Spectacular Jet,60.0,2011
11200236,STARS AND WD,Getman,Young Binary DQ Tau: The hunt for X-ray emission from colliding magnetospheres (GO part),30.0,2011
11200254,STARS AND WD,Povich,Uncharted Territory in M17: In Search of an Older Generation of Young Stars,40.0,2011
11200282,STARS AND WD,Beiersdorfer,New LETGS Observations of Procyon,140.0,2011
11200302,STARS AND WD,Osten,Magnetic Heating of the Outer Atmospheres of Very Low Mass Dwarfs,90.0,2011
11200317,STARS AND WD,Rowell,"Probing for multi-TeV particle acceleration towards W28-A2, a highly unusual ultra-compact HII region.",80.0,2011
11200332,STARS AND WD,Guedel,NeII as a Tracer for X-Rays in Disks Around T Tauri Stars,66.4,2011
11200378,STARS AND WD,Grosso,X-ray Census of Young Low-Mass Stars Candidates Associated with Gomez's Hamburger,17.0,2011
11200418,STARS AND WD,Figer,The nature of GLIMPSE 81: a star cluster to rival Westerlund 1?,40.0,2011
11200420,STARS AND WD,Guedel,New Thrust for Jets: Understanding the Physics of Young Stellar Jets and Outflows,360.0,2011
11200435,STARS AND WD,Grady,The Stars and Edge-on Disks of PDS 144: An Intermediate-Mass Analog of Wide T Tauri Multiple Stars,40.0,2011
11200492,STARS AND WD,Winston,A Chandra Snapshot of Serpens South,100.0,2011
11200496,STARS AND WD,Guinan,Exploring a New Stellar X-ray Frontier: Investigating the X-ray Emissions of RR Lyr Variables,20.0,2011
11200609,STARS AND WD,Robrade,X-ray emission from the fast rotating A7 star Altair,100.0,2011
11200621,STARS AND WD,Schneider,Resolving the time-evolution of the HH 154 X-ray emission,70.0,2011
11200668,STARS AND WD,Corcoran,Monitoring Dynamical Mass Loss from Eta Car with the HETG,160.0,2011
11200698,STARS AND WD,Drake,The Chandra Cygnus OB2 Survey,1080.0,2011
11200702,STARS AND WD,Meibom,Rethinking the rotation-activity classifications of cool single and binary stars,130.0,2011
11200754,STARS AND WD,BROWN,ACIS IMAGING SPECTROSCOPY OF T TAURI STARS IN THE HST/COS CYCLE 17 LARGE PROJECT SAMPLE,40.0,2011
11200793,STARS AND WD,Testa,X-ray emission mechanism in the Be star HD 42054,150.0,2011
11200837,STARS AND WD,Dupree,SLEUTHING THE MAGNETIC DYNAMO IN METAL-POOR STARS,15.0,2011
