"","Proposal Number","Category","PI Name","Type","Time (ks)","Title"
"","16910820","GALACTIC DIFFUSE EMISSION AND SURVEYS","John Tomsick","GO","29","Follow-up of Serendipitous NuSTAR Sources in the Galactic Plane"
"","16910752","GALACTIC DIFFUSE EMISSION AND SURVEYS","Jonathan Slavin","GO","150","The Local Leo Cold Cloud: Separating Solar Wind Charge Exchange from Local Bubble X-ray Emission"
"","16910568","GALACTIC DIFFUSE EMISSION AND SURVEYS","John Tomsick","TOO","20","Localizing NuSTAR-Discovered Sources in the Galactic Plane"
"","16910519","GALACTIC DIFFUSE EMISSION AND SURVEYS","Maica Clavel","GO","480","Characterizing past outbursts from Sagittarius A*"
"","16900937","EXTRAGALACTIC DIFFUSE EMISSION AND SURVEYS","Guenther Hasinger","XVP","1250","Black Hole Fingerprints from Cosmic Dawn to Cosmic Noon"
"","16900624","EXTRAGALACTIC DIFFUSE EMISSION AND SURVEYS","Andrew Levan","TOO","30","A Chandra/HST survey of dark gamma-ray bursts"
"","16800848","CLUSTERS OF GALAXIES","Julie Hlavacek-Larrondo","GO","70","Chandra observations of the massive galaxy cluster MACS J1447.4+0827 at z=0.3755"
"","16800829","CLUSTERS OF GALAXIES","Alexey Vikhlinin","XVP","2100","Chandra mapping of the cosmic web converging on the virialization region of Abell 1795"
"","16800805","CLUSTERS OF GALAXIES","Craig Sarazin","GO","94","PKS B1400-33 and Abell S753: A Very Bright Radio Relic in a Poor Cluster"
"","16800794","CLUSTERS OF GALAXIES","Yuanyuan Su","GO","10","Investigating a Potential Benchmark of Relaxed Clusters out to the Virial Radius"
"","16800783","CLUSTERS OF GALAXIES","Stefi Baum","GO","130","First Chandra Observation of a remarkable 'String of Pearls' between two Merging Elliptical Galaxies"
"","16800758","CLUSTERS OF GALAXIES","Michael McDonald","GO","153","DISTANT GALAXY CLUSTERS HOSTING EXTREME CENTRAL GALAXIES"
"","16800711","CLUSTERS OF GALAXIES","Francesco de Gasperin","GO","27","A first look at the most powerful radio relic cluster"
"","16800690","CLUSTERS OF GALAXIES","Michael McDonald","LP","588","A MASS-LIMITED SURVEY OF GALAXY CLUSTERS AT 1.2 < z < 1.7: PROBING THE PHYSICS OF THE ICM DURING ITS ASSEMBLY"
"","16800665","CLUSTERS OF GALAXIES","Reinout van Weeren","GO","26","Exciting Shock Physics in Faint Galaxy Cluster Outskirts"
"","16800637","CLUSTERS OF GALAXIES","Maxim Markevitch","GO","200","THERMAL AND (OR?) RELATIVISTIC MATTER IN THE BRIGHTEST CLUSTER RADIO RELIC"
