AFGHANISTAN,
Inbound tourism,
Arrivals - Thousands,..
Tourism expenditure in the country - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
ALBANIA,
Inbound tourism,
Arrivals - Thousands,"3,256"
Arrivals - Thousands,"2,857"
Arrivals - Thousands,118
Tourism expenditure in the country - US$ Mn,"1,670"
Travel - US$ Mn,"1,473"
Passenger transport - US$ Mn,197
Outbound tourism,
Departures - Thousands,"3,928"
Tourism expenditure in other countries - US$ Mn,"1,567"
Travel - US$ Mn,"1,479"
Passenger transport - US$ Mn,88
ALGERIA,
Inbound tourism,
Arrivals - Thousands,..
Tourism expenditure in the country - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
AMERICAN SAMOA,
Inbound tourism,
Arrivals - Thousands,..
Tourism expenditure in the country - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
ANDORRA,
Inbound tourism,
Arrivals - Thousands,"2,335"
Tourism expenditure in the country - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
ANGOLA,
Inbound tourism,
Arrivals - Thousands,650
Tourism expenditure in the country - US$ Mn,"1,241"
Travel - US$ Mn,"1,234"
Passenger transport - US$ Mn,7
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,319
Travel - US$ Mn,166
Passenger transport - US$ Mn,153
ANGUILLA,
Inbound tourism,
Arrivals - Thousands,69
Tourism expenditure in the country - US$ Mn,..
Travel - US$ Mn,122
Passenger transport - US$ Mn,..
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,..
