AFGHANISTAN,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,..,..,..,..,..,..
Tourism expenditure in the country - US$ Mn,43,96,138,137,116,..
Travel - US$ Mn,21,39,55,71,56,..
Passenger transport - US$ Mn,22,57,83,66,60,..
Outbound tourism,,,,,,
Departures - Thousands,..,..,..,..,..,..
Tourism expenditure in other countries - US$ Mn,58,61,86,127,80,..
Travel - US$ Mn,55,59,83,113,75,..
Passenger transport - US$ Mn,3,2,3,14,5,..
ALBANIA,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,"1,420","1,856","2,417","2,932","3,514","3,256"
Arrivals - Thousands,"1,247","1,711","2,191","2,469","3,156","2,857"
Arrivals - Thousands,57,65,74,136,149,118
Tourism expenditure in the country - US$ Mn,"1,848","2,014","1,780","1,833","1,623","1,670"
Travel - US$ Mn,"1,713","1,829","1,613","1,632","1,464","1,473"
Passenger transport - US$ Mn,135,185,167,201,159,197
Outbound tourism,,,,,,
Departures - Thousands,"3,716","3,404","3,443","4,120","3,959","3,928"
Tourism expenditure in other countries - US$ Mn,"1,644","1,693","1,454","1,678","1,374","1,567"
Travel - US$ Mn,"1,555","1,586","1,362","1,565","1,284","1,479"
Passenger transport - US$ Mn,89,107,92,113,90,88
ALGERIA,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,"1,772","1,912","2,070","2,395","2,634",..
Tourism expenditure in the country - US$ Mn,473,361,324,300,295,..
Travel - US$ Mn,323,246,220,209,217,..
Passenger transport - US$ Mn,150,115,104,91,78,..
Outbound tourism,,,,,,
Departures - Thousands,"1,539","1,677","1,757","1,715","1,911",..
Tourism expenditure in other countries - US$ Mn,613,575,677,571,565,..
Travel - US$ Mn,468,456,562,502,496,..
Passenger transport - US$ Mn,145,119,115,69,69,..
AMERICAN SAMOA,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,24.3,23.5,22.6,21.9,21.6,..
Tourism expenditure in the country - US$ Mn,..,..,..,..,..,..
Travel - US$ Mn,..,..,..,..,..,..
Passenger transport - US$ Mn,..,..,..,..,..,..
Outbound tourism,,,,,,
Departures - Thousands,..,..,..,..,..,..
Tourism expenditure in other countries - US$ Mn,..,..,..,..,..,..
Travel - US$ Mn,..,..,..,..,..,..
Passenger transport - US$ Mn,..,..,..,..,..,..
ANDORRA,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,"2,059","1,830","1,808","2,242","2,238","2,335"
Tourism expenditure in the country - US$ Mn,..,..,..,..,..,..
Travel - US$ Mn,..,..,..,..,..,..
Passenger transport - US$ Mn,..,..,..,..,..,..
Outbound tourism,,,,,,
Departures - Thousands,..,..,..,..,..,..
Tourism expenditure in other countries - US$ Mn,..,..,..,..,..,..
Travel - US$ Mn,..,..,..,..,..,..
Passenger transport - US$ Mn,..,..,..,..,..,..
ANGOLA,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,294,366,425,481,528,650
Tourism expenditure in the country - US$ Mn,293,554,726,653,711,"1,241"
Travel - US$ Mn,285,534,719,646,706,"1,234"
Passenger transport - US$ Mn,8,20,7,7,5,7
Outbound tourism,,,,,,
Departures - Thousands,..,..,..,..,..,..
Tourism expenditure in other countries - US$ Mn,447,270,275,323,292,319
Travel - US$ Mn,254,133,148,180,159,166
Passenger transport - US$ Mn,193,137,127,143,133,153
ANGUILLA,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,68,58,62,66,65,69
Tourism expenditure in the country - US$ Mn,..,..,..,..,..,..
Travel - US$ Mn,109,94,99,112,113,122
Passenger transport - US$ Mn,..,..,..,..,..,..
Outbound tourism,,,,,,
Departures - Thousands,..,..,..,..,..,..
Tourism expenditure in other countries - US$ Mn,..,..,..,..,..,..
Travel - US$ Mn,17,16,13,13,12,12
Passenger transport - US$ Mn,..,..,..,..,..,..
ANTIGUA AND BARBUDA,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,266,234,230,241,247,244
Tourism expenditure in the country - US$ Mn,..,..,..,..,..,..
Travel - US$ Mn,334,305,298,312,319,299
Passenger transport - US$ Mn,..,..,..,..,..,..
Outbound tourism,,,,,,
Departures - Thousands,..,..,..,..,..,..
Tourism expenditure in other countries - US$ Mn,..,..,..,..,..,..
Travel - US$ Mn,58,54,51,49,49,50
Passenger transport - US$ Mn,..,..,..,..,..,..
ARGENTINA,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,"4,700","4,308","5,325","5,705","5,587","5,571"
Tourism expenditure in the country - US$ Mn,"5,295","4,476","5,629","6,060","5,639","5,054"
Travel - US$ Mn,"4,645","3,960","4,942","5,354","4,887","4,322"
Passenger transport - US$ Mn,650,516,687,706,752,732
Outbound tourism,,,,,,
Departures - Thousands,"4,614","4,981","5,307","6,686","7,266","7,544"
Tourism expenditure in other countries - US$ Mn,"5,962","5,766","6,375","7,477","8,263","8,178"
Travel - US$ Mn,"4,561","4,494","4,878","5,542","5,905","5,580"
Passenger transport - US$ Mn,"1,401","1,272","1,497","1,935","2,358","2,598"
ARMENIA,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,558,575,684,758,963,"1,084"
Tourism expenditure in the country - US$ Mn,381,377,459,488,490,475
Travel - US$ Mn,335,337,411,448,454,458
Passenger transport - US$ Mn,46,40,48,40,36,17
Outbound tourism,,,,,,
Departures - Thousands,516,526,563,715,965,"1,083"
Tourism expenditure in other countries - US$ Mn,397,398,462,546,556,579
Travel - US$ Mn,338,345,400,477,485,502
Passenger transport - US$ Mn,59,53,62,69,71,77
ARUBA,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,827,813,824,869,904,979
Tourism expenditure in the country - US$ Mn,"1,353","1,224","1,256","1,360","1,414",..
Travel - US$ Mn,"1,352","1,223","1,253","1,353","1,404",..
Passenger transport - US$ Mn,1.3,1.2,3.1,6.6,10,..
Outbound tourism,,,,,,
Departures - Thousands,..,..,..,..,..,..
Tourism expenditure in other countries - US$ Mn,273,265,264,289,296,..
Travel - US$ Mn,251,244,245,271,277,..
Passenger transport - US$ Mn,22,21,19,18,19,..
AUSTRALIA,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,"5,586","5,490","5,790","5,771","6,032","6,382"
Arrivals - Thousands,..,..,..,..,..,..
Tourism expenditure in the country - US$ Mn,"27,189","26,909","31,064","34,096","34,426","33,235"
Travel - US$ Mn,"23,986","24,566","28,472","31,348","31,843","31,000"
Passenger transport - US$ Mn,"3,203","2,343","2,592","2,748","2,583","2,235"
Outbound tourism,,,,,,
Departures - Thousands,"5,808","6,276","7,103","7,788","8,212","8,768"
Tourism expenditure in other countries - US$ Mn,"25,557","22,680","27,851","33,916","34,629","33,075"
Travel - US$ Mn,"19,617","18,738","22,558","27,320","27,481","26,578"
Passenger transport - US$ Mn,"5,940","3,942","5,293","6,596","7,148","6,497"
AUSTRIA,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,"21,935","21,355","22,004","23,012","24,151","24,813"
Tourism expenditure in the country - US$ Mn,"24,346","21,220","20,980","22,453","21,446","22,618"
Travel - US$ Mn,"21,630","19,159","18,758","19,778","18,938","20,090"
Passenger transport - US$ Mn,"2,716","2,061","2,222","2,675","2,508","2,528"
Outbound tourism,,,,,,
Departures - Thousands,"9,677","10,121","9,882","9,874","10,960","10,671"
Tourism expenditure in other countries - US$ Mn,"13,993","12,767","12,213","12,920","12,352","12,698"
Travel - US$ Mn,"11,432","10,813","10,125","10,548","9,992","10,253"
Passenger transport - US$ Mn,"2,561","1,954","2,088","2,372","2,360","2,445"
AZERBAIJAN,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,"1,899","1,830","1,963","2,239","2,484","2,509"
Arrivals - Thousands,"1,043","1,005","1,280","1,562","1,986","2,130"
Tourism expenditure in the country - US$ Mn,382,545,792,"1,500","2,634","2,618"
Travel - US$ Mn,191,379,657,"1,287","2,433","2,365"
Passenger transport - US$ Mn,191,166,135,213,201,253
Outbound tourism,,,,,,
Departures - Thousands,"2,162","2,363","3,176","3,550","3,874","4,285"
Tourism expenditure in other countries - US$ Mn,456,488,856,"1,778","2,617","3,032"
Travel - US$ Mn,343,406,782,"1,689","2,477","2,877"
Passenger transport - US$ Mn,113,82,74,89,140,155
BAHAMAS,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,"1,463","1,327","1,370","1,346","1,422","1,364"
Tourism expenditure in the country - US$ Mn,"2,155","2,025","2,159","2,157","2,333","2,182"
Travel - US$ Mn,"2,144","2,014","2,147","2,142","2,311","2,162"
Passenger transport - US$ Mn,11,11,12,15,22,20
Outbound tourism,,,,,,
Departures - Thousands,..,..,..,..,..,..
Tourism expenditure in other countries - US$ Mn,460,386,369,347,384,362
Travel - US$ Mn,305,240,228,246,286,262
Passenger transport - US$ Mn,155,146,141,101,98,100
BAHRAIN,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,"8,631","8,861","11,952","6,732","8,062","9,163"
Arrivals - Thousands,..,..,..,..,..,..
Tourism expenditure in the country - US$ Mn,"1,927","1,873","2,163","1,766","1,742",..
Travel - US$ Mn,"1,166","1,118","1,362","1,035","1,051",..
Passenger transport - US$ Mn,761,755,801,731,691,..
Outbound tourism,,,,,,
Departures - Thousands,..,..,..,..,..,..
Tourism expenditure in other countries - US$ Mn,704,597,684,899,889,..
Travel - US$ Mn,503,408,506,718,729,..
Passenger transport - US$ Mn,201,189,178,181,160,..
BANGLADESH,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,467,267,303,155,125,148
Tourism expenditure in the country - US$ Mn,..,95,104,103,107,130
Travel - US$ Mn,59,81,87,95,105,128
Passenger transport - US$ Mn,..,14,17,8,2,2
Outbound tourism,,,,,,
Departures - Thousands,875,"2,254",..,..,..,..
Tourism expenditure in other countries - US$ Mn,708,661,852,838,900,"1,297"
Travel - US$ Mn,193,265,266,342,305,347
Passenger transport - US$ Mn,515,396,586,496,595,950
BARBADOS,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,568,519,532,568,536,509
Tourism expenditure in the country - US$ Mn,"1,244","1,122","1,074",..,..,..
Travel - US$ Mn,"1,237","1,112","1,071",..,..,..
Passenger transport - US$ Mn,7,10,3,..,..,..
Outbound tourism,,,,,,
Departures - Thousands,..,..,..,..,..,..
Tourism expenditure in other countries - US$ Mn,279,293,351,..,..,..
Travel - US$ Mn,205,216,274,..,..,..
Passenger transport - US$ Mn,74,77,77,..,..,..
BELARUS,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,92,95,120,116,119,137
Tourism expenditure in the country - US$ Mn,585,563,665,747,986,"1,086"
Travel - US$ Mn,363,370,440,487,685,722
Passenger transport - US$ Mn,222,193,225,260,301,364
Outbound tourism,,,,,,
Departures - Thousands,380,316,415,320,493,708
Tourism expenditure in other countries - US$ Mn,860,752,748,729,948,"1,264"
Travel - US$ Mn,716,639,622,588,789,"1,080"
Passenger transport - US$ Mn,144,113,126,141,159,184
BELGIUM,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,"7,165","6,815","7,186","7,494","7,560","7,684"
Tourism expenditure in the country - US$ Mn,"13,106","13,072","13,400","14,475","14,272","14,716"
Travel - US$ Mn,"11,788","11,818","12,113","13,111","13,001","13,524"
Passenger transport - US$ Mn,"1,318","1,254","1,287","1,364","1,271","1,192"
Outbound tourism,,,,,,
Departures - Thousands,"8,887","8,775","8,801","9,727","9,576","10,818"
Tourism expenditure in other countries - US$ Mn,"21,445","20,191","20,843","22,730","22,240","23,981"
Travel - US$ Mn,"19,859","18,379","18,822","20,571","20,111","21,635"
Passenger transport - US$ Mn,"1,586","1,812","2,021","2,159","2,129","2,346"
BELIZE,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,245,232,242,250,277,294
Tourism expenditure in the country - US$ Mn,..,..,..,..,..,..
Travel - US$ Mn,278,256,264,248,298,351
Passenger transport - US$ Mn,..,..,..,..,..,..
Outbound tourism,,,,,,
Departures - Thousands,..,..,..,..,..,..
Tourism expenditure in other countries - US$ Mn,44,43,39,37,39,42
Travel - US$ Mn,41,41,36,34,37,40
Passenger transport - US$ Mn,3,2,3,3,2,2
BENIN,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,188,190,199,209,220,231
Tourism expenditure in the country - US$ Mn,236,131,149,188,192,..
Travel - US$ Mn,236,131,149,187,189,..
Passenger transport - US$ Mn,0.4,0.4,0.4,0.6,3,..
Outbound tourism,,,,,,
Departures - Thousands,..,..,..,..,..,..
Tourism expenditure in other countries - US$ Mn,102,88,91,..,..,..
Travel - US$ Mn,64,53,57,..,..,..
Passenger transport - US$ Mn,38,35,34,..,..,..
BERMUDA,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,264,236,232,236,232,236
Tourism expenditure in the country - US$ Mn,..,..,..,472,461,..
Travel - US$ Mn,431,366,442,466,454,..
Passenger transport - US$ Mn,..,..,..,6,7,..
Outbound tourism,,,,,,
Departures - Thousands,192,..,..,..,..,..
Tourism expenditure in other countries - US$ Mn,459,407,417,413,411,..
Travel - US$ Mn,307,295,301,303,305,..
Passenger transport - US$ Mn,152,112,116,110,106,..
BHUTAN,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,28,23,41,66,105,116
Tourism expenditure in the country - US$ Mn,47,51,64,76,93,118
