country,2008,2009,2010,2011,2012,2013
AFGHANISTAN,0,0,0,0,0,0
ALBANIA,1420,1856,2417,2932,3514,3256
ALGERIA,1772,1912,2070,2395,2634,0
AMERICAN SAMOA,24,23,22,21,21,0
ANDORRA,2059,1830,1808,2242,2238,2335
ANGOLA,294,366,425,481,528,650
ANGUILLA,68,58,62,66,65,69
ANTIGUA AND BARBUDA,266,234,230,241,247,244
ARGENTINA,4700,4308,5325,5705,5587,5571
ARMENIA,558,575,684,758,963,1084
ARUBA,827,813,824,869,904,979
AUSTRALIA,5586,5490,5790,5771,6032,6382
AUSTRIA,21935,21355,22004,23012,24151,24813
AZERBAIJAN,1899,1830,1963,2239,2484,2509
BAHAMAS,1463,1327,1370,1346,1422,1364
BAHRAIN,8631,8861,11952,6732,8062,9163
BANGLADESH,467,267,303,155,125,148
BARBADOS,568,519,532,568,536,509
BELARUS,92,95,120,116,119,137
BELGIUM,7165,6815,7186,7494,7560,7684
BELIZE,245,232,242,250,277,294
BENIN,188,190,199,209,220,231
BERMUDA,264,236,232,236,232,236
BHUTAN,28,23,41,66,105,116
BOLIVIA,594,599,679,711,798,798
BONAIRE,74,67,71,0,0,0
BOSNIA AND HERZEGOVINA,322,311,365,392,439,529
BOTSWANA,2101,2103,2145,0,0,0
BRAZIL,5050,4802,5161,5433,5677,5813
BRITISH VIRGIN ISLANDS,346,309,330,338,351,366
BRUNEI DARUSSALAM,0,0,0,0,0,3279
BULGARIA,5780,5739,6047,6328,6541,6898
BURKINA FASO,272,269,274,238,237,218
BURUNDI,202,212,142,0,0,0
CABO VERDE,285,287,336,428,482,503
CAMBODIA,2125,2162,2508,2882,3584,4210
CAMEROON,487,498,573,604,817,912
CANADA,17142,15737,16219,16014,16344,16590
CAYMAN ISLANDS,303,272,288,309,322,345
CENTRAL AFRICAN REPUBLIC,31,52,54,65,71,0
CHAD,61,70,71,77,86,100
CHILE,2710,2760,2801,3137,3554,3576
CHINA,53049,50875,55664,57581,57725,55686
COLOMBIA,2545,2649,1701,2356,2429,2595
COMOROS,15,11,15,19,0,0
CONGO,0,0,199,224,260,305
COOK ISLANDS,95,101,104,113,122,121
COSTA RICA,2089,1923,2100,2192,2343,2428
