Country,Value
AFGHANISTAN,0
ALBANIA,3514
ALGERIA,2634
AMERICAN SAMOA,21
ANDORRA,2238
ANGOLA,528
ANGUILLA,65
ANTIGUA AND BARBUDA,247
ARGENTINA,5587
ARMENIA,963
ARUBA,904
AUSTRALIA,6032
AUSTRIA,24151
AZERBAIJAN,2484
BAHAMAS,1422
BAHRAIN,8062
BANGLADESH,125
BARBADOS,536
BELARUS,119
BELGIUM,7560
BELIZE,277
BENIN,220
BERMUDA,232
BHUTAN,105
BOLIVIA,798
BONAIRE,0
BOSNIA AND HERZEGOVINA,439
BOTSWANA,0
BRAZIL,5677
BRITISH VIRGIN ISLANDS,351
BRUNEI DARUSSALAM,0
BULGARIA,6541
BURKINA FASO,237
BURUNDI,0
CABO VERDE,482
CAMBODIA,3584
CAMEROON,817
CANADA,16344
CAYMAN ISLANDS,322
CENTRAL AFRICAN REPUBLIC,71
CHAD,86
CHILE,3554
CHINA,57725
COLOMBIA,2429
COMOROS,0
CONGO,260
COOK ISLANDS,122
COSTA RICA,2343
COTE D'IVOIRE,289
CROATIA,10369
CUBA,2815
CURAÇAO,421
CYPRUS,2465
CZECH REPUBLIC,8908
DEMOCRATIC REPUBLIC OF THE CONGO,167
DENMARK,8443
DJIBOUTI,60
DOMINICA,79
DOMINICAN REPUBLIC,4563
ECUADOR,1272
EGYPT,11196
EL SALVADOR,1255
EQUATORIAL GUINEA,0
ERITREA,0
ESTONIA,2744
ETHIOPIA,597
FIJI,661
FINLAND,4226
FRANCE,83051
FRENCH GUIANA,0
FRENCH POLYNESIA,169
GABON,0
GAMBIA,157
GEORGIA,4428
GERMANY,30411
GHANA,0
GREECE,15518
GRENADA,116
GUADELOUPE,325
GUAM,1308
GUATEMALA,1951
GUINEA,96
GUINEA-BISSAU,0
GUYANA,177
HAITI,295
HONDURAS,895
HUNGARY,10353
ICELAND,673
INDIA,6578
INDONESIA,8044
IRAQ,1111
IRELAND,7550
ISRAEL,2886
ITALY,46360
JAMAICA,1986
JAPAN,8358
JORDAN,4162
KAZAKHSTAN,4807
KENYA,1619
KIRIBATI,4
KUWAIT,5729
KYRGYZSTAN,2406
LAO PEOPLE'S DEMOCRATIC REPUBLIC,2140
LATVIA,1435
LEBANON,1366
LESOTHO,423
LIBERIA,0
LIBYA,0
LIECHTENSTEN,62
LITHUANIA,1900
LUXEMBOURG,950
MADAGASCAR,256
MALAWI,770
MALAYSIA,25033
MALDIVES,958
MALI,134
MALTA,1443
MARSHALL ISLANDS,4
MARTINIQUE,488
MAURITANIA,0
MAURITIUS,965
MEXICO,23403
MONACO,292
MONGOLIA,476
MONTENEGRO,1264
MONTSERRAT,7
MOROCCO,9375
MOZAMBIQUE,2113
MYANMAR,1059
NAMIBIA,1079
NEPAL,803
NETHERLANDS,11680
NEW CALEDONIA,112
NEW ZEALAND,2574
NICARAGUA,1180
NIGER,94
NIGERIA,4673
NIUE,5
NORTHERN MARIANA ISLANDS,0
NORWAY,0
OMAN,1438
PAKISTAN,966
PALAU,119
PALESTINE,490
PANAMA,1606
PAPUA NEW GUINEA,168
PARAGUAY,579
PERU,2846
PHILIPPINES,4273
POLAND,14840
PORTUGAL,0
PUERTO RICO,3069
QATAR,2346
REPUBLIC OF MOLDOVA,11
REUNION,447
ROMANIA,7937
RUSSIAN FEDERATION,28177
RWANDA,1076
SABA,0
SAINT KITTS AND NEVIS,104
SAINT LUCIA,307
SAINT VINCENT AND THE GRENADINES,74
SAMOA,126
SAN MARINO,139
SAO TOME AND PRINCIPE,0
SAUDI ARABIA,14276
SENEGAL,962
SERBIA,810
SERBIA AND MONTENEGRO,0
SEYCHELLES,208
SIERRA LEONE,60
SINGAPORE,11098
SINT EUSTATIUS,0
SINT MAARTEN,457
SLOVAKIA,6235
SLOVENIA,2156
SOLOMON ISLANDS,23
SOUTH AFRICA,9188
SPAIN,57464
SRI LANKA,1006
SUDAN,575
SURINAME,240
SWAZILAND,889
SWEDEN,12174
SWITZERLAND,8566
SYRIAN ARAB REPUBLIC,0
TAJIKISTAN,244
THAILAND,22354
THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA,351
TIMOR-LESTE,58
TOGO,235
TONGA,48
TRINIDAD AND TOBAGO,455
TUNISIA,5950
TURKEY,35698
TURKMENISTAN,0
TURKS AND CAICOS ISLANDS,292
TUVALU,0
UGANDA,1197
UKRAINE,23013
UNITED ARAB EMIRATES,0
UNITED KINGDOM,31084
UNITED REPUBLIC OF TANZANIA,1043
UNITED STATES OF AMERICA,66657
UNITED STATES VIRGIN ISLANDS,580
URUGUAY,2695
UZBEKISTAN,0
VANUATU,108
VENEZUELA,988
VIET NAM,6848
YEMEN,874
ZAMBIA,859
ZIMBABWE,1794
