A_Name,T_Name,Population,House,Shape_l
NONG KHAEM,NONG KHANG PHLU,70706,24815,0.183934472055047
RATCHATHEWI,THUNG PHAYA THAI,51261,8368,0.059283941080640
THON BURI,DAO KHANONG,20868,7909,0.059342617097811
PRAWET,PRAWET,66601,19387,0.208770761748108
BANG RAK,SURIYAWONG,5413,4297,0.045997031239216
PHRA NAKHON,SAN CHAOPHO SUEA,4053,986,0.015210781948662
CHATUCHAK,SENA NIKHOM,23333,8419,0.073835933752569
LAT KRABANG,KHLONG SONG TON NUN,54298,17551,0.154289006971326
NONG CHOK,KHOK FAET,27019,7427,0.216556600924670
TALING CHAN,BANG PHROM,14212,3782,0.130413694672595
THON BURI,TALAT PHLU,20699,6462,0.044048248454903
RATCHATHEWI,MAKKASAN,20589,8854,0.068414749921852
WATTHANA,KHLONG TAN NUEA,46890,24496,0.125472561161554
CHATUCHAK,LAT YAO,50176,20108,0.131069353563681
POM PRAP SATTRU PHAI,BAN BAT,9239,2637,0.027522404738792
DUSIT,WACHIRA PHAYABAN,13705,3056,0.042898253663252
RATCHATHEWI,THANON PHAYA THAI,10084,6822,0.043730718778745
BANGKOK NOI,SIRIRAT,20471,4323,0.060588614017978
PHASI CHAROEN,KHUHA SAWAN,7069,1838,0.055130946441115
KHLONG TOEI,KHLONG TAN,13439,7573,0.058613624864097
PHRA NAKHON,CHANA SONGKHRAM,2514,821,0.021442541756113
PHASI CHAROEN,PAK KHLONG PHASI CHAROEN,19835,6821,0.061065211736749
POM PRAP SATTRU PHAI,WAT SOMMANAT,8649,2202,0.027491123097374
CHATUCHAK,CHATUCHAK,26282,11050,0.118532804066049
BANGKOK NOI,BANG KHUN SI,39619,12811,0.085630388141361
PHRA NAKHON,SAO CHINGCHA,3083,707,0.014527116249428
KHLONG TOEI,PHRA KHANONG,27007,11430,0.095086276684452
SATHON,THUNG MAHAMEK,21134,9605,0.083568066186576
THUNG KHRU,BANG MOT,48382,19302,0.164535917615865
BUENG KUM,KHLONG KUM,138501,48015,0.224504747625376
THON BURI,SAMRE,19699,7072,0.051803194388929
LAT KRABANG,THAP YAO,16990,5100,0.272644783738140
PHASI CHAROEN,BANG DUAN,30508,8199,0.077402619581997
THAWI WATTHANA,THAWI WATTHANA,19344,6059,0.234728205842567
SAPHAN SUNG,SAPHAN SUNG,83147,25118,0.231490936561164
KHLONG SAM WA,SAI KONG DIN,9590,2844,0.138671018846791
SAI MAI,KHLONG THANON,79090,30320,0.147148788143341
DUSIT,DUSIT,17341,3404,0.063780055763732
YAN NAWA,BANG PHONGPHANG,36235,14973,0.092326492356813
DUSIT,THANON NAKHON CHAISI,69531,17924,0.093450272439631
THON BURI,BANG YI RUEA,27684,7548,0.045894551587701
CHOM THONG,BANG KHO,40360,11927,0.088228084974842
PATHUM WAN,PATHUM WAN,8404,871,0.055554518597736
BANG KHO LAEM,BANG KHLO,43460,15733,0.089450976142635
THON BURI,WAT KANLAYA,12157,2667,0.032636638446288
