idnew,A_NAME,T_NAME,Population,House,Shape_l
1,NONG KHAEM,NONG KHANG PHLU,70706,24815,0.183934
2,RATCHATHEWI,THUNG PHAYA THAI,51261,8368,0.059284
3,THON BURI,DAO KHANONG,20868,7909,0.059343
4,PRAWET,PRAWET,66601,19387,0.208771
5,BANG RAK,SURIYAWONG,5413,4297,0.045997
6,PHRA NAKHON,SAN CHAOPHO SUEA,4053,986,0.015211
7,CHATUCHAK,SENA NIKHOM,23333,8419,0.073836
8,LAT KRABANG,KHLONG SONG TON NUN,54298,17551,0.154289
9,NONG CHOK,KHOK FAET,27019,7427,0.216557
10,TALING CHAN,BANG PHROM,14212,3782,0.130414
11,THON BURI,TALAT PHLU,20699,6462,0.044048
12,RATCHATHEWI,MAKKASAN,20589,8854,0.068415
13,WATTHANA,KHLONG TAN NUEA,46890,24496,0.125473
14,CHATUCHAK,LAT YAO,50176,20108,0.131069
15,POM PRAP SATTRU PHAI,BAN BAT,9239,2637,0.027522
16,DUSIT,WACHIRA PHAYABAN,13705,3056,0.042898
17,RATCHATHEWI,THANON PHAYA THAI,10084,6822,0.043731
18,BANGKOK NOI,SIRIRAT,20471,4323,0.060589
19,PHASI CHAROEN,KHUHA SAWAN,7069,1838,0.055131
20,KHLONG TOEI,KHLONG TAN,13439,7573,0.058614
21,PHRA NAKHON,CHANA SONGKHRAM,2514,821,0.021443
22,PHASI CHAROEN,PAK KHLONG PHASI CHAROEN,19835,6821,0.061065
23,POM PRAP SATTRU PHAI,WAT SOMMANAT,8649,2202,0.027491
24,CHATUCHAK,CHATUCHAK,26282,11050,0.118533
25,BANGKOK NOI,BANG KHUN SI,39619,12811,0.085630
26,PHRA NAKHON,SAO CHINGCHA,3083,707,0.014527
27,KHLONG TOEI,PHRA KHANONG,27007,11430,0.095086
28,SATHON,THUNG MAHAMEK,21134,9605,0.083568
29,THUNG KHRU,BANG MOT,48382,19302,0.164536
30,BUENG KUM,KHLONG KUM,138501,48015,0.224505
31,THON BURI,SAMRE,19699,7072,0.051803
32,LAT KRABANG,THAP YAO,16990,5100,0.272645
33,PHASI CHAROEN,BANG DUAN,30508,8199,0.077403
34,THAWI WATTHANA,THAWI WATTHANA,19344,6059,0.234728
35,SAPHAN SUNG,SAPHAN SUNG,83147,25118,0.231491
36,KHLONG SAM WA,SAI KONG DIN,9590,2844,0.138671
37,SAI MAI,KHLONG THANON,79090,30320,0.147149
38,DUSIT,DUSIT,17341,3404,0.063780
39,YAN NAWA,BANG PHONGPHANG,36235,14973,0.092326
40,DUSIT,THANON NAKHON CHAISI,69531,17924,0.093450
41,THON BURI,BANG YI RUEA,27684,7548,0.045895
42,CHOM THONG,BANG KHO,40360,11927,0.088228
43,PATHUM WAN,PATHUM WAN,8404,871,0.055555
