"Institution","All_agencies","DOC","DOD","DOE","ED","EPA","HHS","NASA","NSF","USDA","Othera"
"All institutions","29034304.1","269048.4","3365150.9","1054056.4","179549.2","48094.1","16838744.3","883556.6","4910561.3","1135529.6","350013.5"
"   Johns Hopkins U.","1538502.6","422.9","720039.7","4497.2","44.7","0","603533.9","158349.1","38368.8","0","13246.3"
"   U. WA","662920.7","12242.1","64049.8","20339","4704","464.9","448690.5","10928.7","87701.2","10558.4","3242"
"   U. MI","609859.1","3253","39861.5","20509","1971","1588.2","418803.4","21837.8","86482.8","1361.6","14190.7"
"   U. CA, San Francisco","573638.4","0","31425.6","163.9","919.7","0","536012","349.2","4767.9","0","0"
"   U. CA, San Diego","565551.1","17334","59290","13314.1","193.7","400","368753.9","7423.9","97723.3","559.8","558.2"
"   U. PA","540124.2","1287.2","33779.3","6578.1","44.7","0","458366.4","2278.8","36586.5","1128.1","75"
"   Stanford U.","495617.1","565","54587","12624.1","89.4","190","360829.7","17104.7","46070.6","82.8","3473.7"
"   U. CA, Los Angeles","481135.1","0","32489.2","19377","3148.6","0","348876","12701.7","64122.9","350","69.7"
"   Columbia U. in the City of New York","477051.2","2028.1","24615","9503.1","582","500","346116.7","14971.9","77772.4","0","962.1"
"   U. Pittsburgh","465624.9","99.5","20017.6","3274","2510.8","0","413395.7","321.1","25139.6","0","866.6"
"   Harvard U.","458699.7","447.9","33591.6","6888.3","268.6","1653.4","357431.9","8110.5","49715.8","491.6","100"
"   Duke U.","454284.4","217.4","36834.2","7911.9","198.7","779","354706.5","2657.1","39868.1","87.6","11023.8"
"   U. CO","448386.8","45584.3","23502.7","12032","1350","0","237170.3","56775.3","70790.5","270.6","911"
"   U. NC, Chapel Hill","441716.6","0","10575.8","3405","615.7","2041.3","394828.9","87.5","28217.4","65","1880"
"   U. WI, Madison","440354.1","199","17363.6","48493.4","2833.3","194.2","248601.6","0","96254.3","25634.3","780.5"
"   Yale U.","412470.3","0","20974.7","8946.9","44.7","0","354526.9","2488.4","25488.6","0","0"
"   U. MN","410565.5","1132.3","10755.6","11240.3","1075","1215.3","276837.9","3559.6","70222.7","28887.8","5639.1"
"   PA State U.","392831.6","1445.4","167834.9","11561","3313.4","2220.6","108153.8","9449.2","57701.7","29227.8","1923.7"
"   GA Institute of Technology","385229.9","5773.5","272210.1","5960.4","2374.9","665.4","22688.5","8551.6","66910.5","50","45"
"   Vanderbilt U.","373566.4","640.8","24648.6","6451.5","2244.7","0","318131.1","368.7","20589.5","491.5","0"
"   Washington U., St. Louis","372133.8","183.1","7929.4","10258.4","38.7","298.7","327135.9","7743.6","17565.1","980.8","0"
"   Cornell U.","368553.3","98.6","22940.1","13094.3","2312.2","2906.1","175744","4537","113141.5","31660","2119.5"
"   MA Institute of Technology","339998.9","2608.5","95018.5","63061.4","0","923.9","94869.2","22316.4","58358.4","150","2692.5"
"   U. CA, Davis","333824.9","0","17977.8","11047.9","150","1660.2","191443.7","2569.8","54757.5","40018.7","14199.3"
"   Northwestern U., Evanston","314781.9","7.7","23646.5","12636.5","1112.9","0","235009.1","1595.6","39586.9","0","1186.7"
"   Emory U.","305765.4","64.4","6760","1182.1","0","1574.2","281128.8","2585.4","12391.4","79","0"
"   U. Southern CA","300322.6","1014.8","61989.3","3583.4","0","837.1","184221.7","2968.8","40142.2","0","5565.3"
"   Case Western Reserve U.","287673.8","0","8033.6","2066","0","0","261427.7","1645.7","14500.9","0","0"
"   U. IL, Urbana-Champaign","284676.7","0","28696.3","14878.3","196.4","1721.1","59358.2","5048.3","149192.7","25485.5","100"
"   U. CA, Berkeley","283842.5","179.4","24245.8","14272.4","457.7","1237.1","120338.7","30063.4","83532.9","906.3","8608.9"
"   NY U.","249004.8","99.9","4352.4","1512.4","1334.7","0","220744.3","1681.8","19184.2","95","0"
"   OH State U.","248612","1112.8","19323.5","10749.4","4644.7","494.3","130856.4","3775.4","49141.5","25219","3295.1"
"   Baylor C. of Medicine","244067.7","0","21916","0","0","0","193083.2","17148.9","1581.5","10338","0"
"   U. Rochester","237345.7","85.6","3711.6","65594.9","0","0","156143.9","1134.1","10675.6","0","0"
"   U. AZ","231903.2","1478.8","12338.8","2207.8","589.4","0","78889.9","57630.7","65552.5","7752.9","5462.3"
"   Scripps Research Institute","231333","0","0","0","0","0","228979.9","522.5","1830.7","0","0"
"   U. MD, College Park","227283.7","25276.3","40775.7","10680.8","100","0","35765.7","36049","58722.6","9513.9","10399.7"
"   U. AL, Birmingham","223512.3","0","6257.3","285","3573.5","0","197802.7","10023.6","5127.4","0","442.8"
"   Rutgers, State U. NJ","222426.4","78.6","7475.8","5669.7","2080.4","499.9","141685.1","536.3","46662.5","10892.2","6845.9"
"   U. FL","221513.8","4454.4","18937.6","5669.9","150","0","128889","3383.5","31216.6","27922","890.7"
"   Icahn School of Medicine at Mt. Sinai","213885.6","0","725","0","577.3","0","211674.7","125","783.6","0","0"
"   U. Chicago","213015.2","50","7971.4","6092.3","268.6","0","153961.7","2595.9","42075.4","0","0"
"   U. UT","207313.8","275.6","8540.2","6643.5","0","0","152863.3","1660.5","35837.6","90","1403.1"
"   OR Health and Science U.","206186.7","0","3607.6","0","300","0","195050.8","867","5951.3","410","0"
"   MI State U.","204047.2","150","4348.3","32558.6","0","2286.7","49784","1295","72819.4","27544.8","13260.5"
"   Boston U.","203567.5","0","9596.6","4274.7","2984.3","0","154422.9","4157.9","27630.1","73.3","427.9"
"   U. CA, Irvine","197778.4","224.1","8801.9","7742.9","11086.4","0","126887.3","3583","39452.9","0","0"
"   U. IA","190436.3","90.9","7317.7","1607.5","292.8","300","163689.1","3136.2","12023.1","559.8","1419.1"
"   CA Institute of Technology","186915.1","669","17367.4","25531.4","0","0","59195.5","0","83857.4","0","294.3"
"   U. TX, Austin","178484.2","751.4","19530.6","31739.6","4429.7","618.8","50875.4","10702.9","57127","299.6","2409.2"
