name,rate,count,loc_lat,loc_long
pepper-skys-thai-sensation-cambridge,3.5,309,42.3641882057,-71.1028935892
nud-pob-thai-cuisine-boston,4.0,212,42.3498264818,-71.1070277454
thelonious-monkfish-cambridge,3.5,482,42.3642186821,-71.1018425971
pad-thai-cafe-boston,4.0,304,42.3467399,-71.08872
thai-dish-boston,3.5,101,42.34957,-71.09527
rod-dee-thai-2-boston,4.0,224,42.3430470265,-71.0992394306
thaitation-boston,4.0,199,42.3423309326,-71.0969619751
giggling-rice-thai-to-go-brookline,4.0,36,42.3457184,-71.1069031
royal-east-restaurant-cambridge,3.5,141,42.3631003,-71.0971097
noodle-street-boston,3.0,263,42.349811554,-71.1015777588
beijing-tokyo-cambridge,3.0,86,42.3633194,-71.0968399
bon-me-cambridge,4.0,118,42.3665695,-71.0901871
moksa-restaurant-cambridge-4,3.0,221,42.3635963252,-71.1010352921
ginger-exchange-cambridge-2,3.0,304,42.3735205829,-71.0988606513
bon-me-boston,4.0,193,42.349254,-71.100721
new-asia-cambridge,2.5,18,42.370717,-71.1135232
hsin-hsin-boston,3.0,91,42.3504829407,-71.0895767212
tiger-mama-boston-3,4.0,54,42.343955934,-71.1002607644
swish-shabu-boston,4.0,188,42.3430901,-71.0991135
mei-mei-street-kitchen-boston,4.0,160,42.3474002278,-71.1061915963
